GameId,GameDate,NeutralSite,AwayTeam,HomeTeam,Team,Home,Score,AST,TOV,STL,BLK,Rebounds,ORB,DRB,FGA,FGM,3FGM,3FGA,FTA,FTM,Fouls
1,1/1/2019 13:00,0,Notre Dame Fighting Irish,Virginia Tech Hokies,Notre Dame Fighting Irish,0,66,13,11,2,5,30,13,17,56,23,13,34,13,7,10
1,1/1/2019 13:00,0,Notre Dame Fighting Irish,Virginia Tech Hokies,Virginia Tech Hokies,1,81,19,7,5,1,24,2,22,55,33,11,18,5,4,13
2,1/3/2019 19:00,0,North Carolina State Wolfpack,Miami (FL) Hurricanes,Miami (FL) Hurricanes,1,82,12,7,7,1,27,9,18,61,28,10,25,29,16,14
2,1/3/2019 19:00,0,North Carolina State Wolfpack,Miami (FL) Hurricanes,North Carolina State Wolfpack,0,87,17,16,4,3,50,17,33,68,31,11,30,18,14,23
3,1/5/2019 3:27,0,Clemson Tigers,Duke Blue Devils,Clemson Tigers,0,68,14,16,6,2,35,9,26,63,27,6,15,12,8,16
3,1/5/2019 3:27,0,Clemson Tigers,Duke Blue Devils,Duke Blue Devils,1,87,16,12,13,6,39,12,27,67,32,7,23,21,16,15
4,1/5/2019 12:00,0,Boston College Eagles,Virginia Tech Hokies,Boston College Eagles,0,66,10,12,4,2,25,5,20,48,19,8,27,25,20,22
4,1/5/2019 12:00,0,Boston College Eagles,Virginia Tech Hokies,Virginia Tech Hokies,1,77,13,11,5,2,31,8,23,54,25,6,22,25,21,18
5,1/5/2019 12:00,0,Syracuse Orange,Notre Dame Fighting Irish,Notre Dame Fighting Irish,1,62,16,10,3,7,35,9,26,58,20,11,33,17,11,12
5,1/5/2019 12:00,0,Syracuse Orange,Notre Dame Fighting Irish,Syracuse Orange,0,72,11,9,4,3,43,13,30,68,28,12,29,5,4,15
6,1/5/2019 12:00,0,North Carolina Tar Heels,Pittsburgh Panthers,North Carolina Tar Heels,0,85,24,11,8,7,49,16,33,74,32,10,24,17,11,24
6,1/5/2019 12:00,0,North Carolina Tar Heels,Pittsburgh Panthers,Pittsburgh Panthers,1,60,7,15,7,7,37,11,26,62,19,2,19,32,20,19
7,1/5/2019 14:00,0,Wake Forest Demon Deacons,Georgia Tech Yellow Jackets,Georgia Tech Yellow Jackets,1,92,20,12,11,8,27,5,22,52,29,6,20,34,28,19
7,1/5/2019 14:00,0,Wake Forest Demon Deacons,Georgia Tech Yellow Jackets,Wake Forest Demon Deacons,0,79,10,13,6,2,28,11,17,68,27,9,22,22,16,23
8,1/5/2019 15:00,0,Florida State Seminoles,Virginia Cavaliers,Florida State Seminoles,0,52,8,13,9,6,29,6,23,44,15,6,23,27,16,19
8,1/5/2019 15:00,0,Florida State Seminoles,Virginia Cavaliers,Virginia Cavaliers,1,65,12,10,4,2,32,6,26,52,21,7,16,18,16,16
9,1/6/2019 18:00,0,Miami (FL) Hurricanes,Louisville Cardinals,Louisville Cardinals,1,90,19,7,1,1,38,14,24,69,33,13,31,15,11,16
9,1/6/2019 18:00,0,Miami (FL) Hurricanes,Louisville Cardinals,Miami (FL) Hurricanes,0,73,7,12,4,0,34,10,24,56,24,10,26,20,15,16
10,1/8/2019 19:00,0,Duke Blue Devils,Wake Forest Demon Deacons,Duke Blue Devils,0,87,24,17,7,13,39,12,27,62,36,7,23,16,8,22
10,1/8/2019 19:00,0,Duke Blue Devils,Wake Forest Demon Deacons,Wake Forest Demon Deacons,1,65,6,15,5,0,31,15,16,65,22,4,18,28,17,16
11,1/8/2019 21:00,0,North Carolina Tar Heels,North Carolina State Wolfpack,North Carolina State Wolfpack,1,82,17,13,12,8,28,8,20,73,31,8,28,17,12,21
11,1/8/2019 21:00,0,North Carolina Tar Heels,North Carolina State Wolfpack,North Carolina Tar Heels,0,90,20,23,4,5,47,12,35,64,29,10,25,26,22,20
12,1/9/2019 19:00,0,Virginia Tech Hokies,Georgia Tech Yellow Jackets,Georgia Tech Yellow Jackets,1,49,12,18,5,4,29,2,27,38,17,6,16,16,9,22
12,1/9/2019 19:00,0,Virginia Tech Hokies,Georgia Tech Yellow Jackets,Virginia Tech Hokies,0,52,12,8,3,2,30,9,21,57,17,5,27,19,13,15
13,1/9/2019 20:00,0,Clemson Tigers,Syracuse Orange,Clemson Tigers,0,53,14,16,7,2,32,9,23,53,19,5,20,17,10,22
13,1/9/2019 20:00,0,Clemson Tigers,Syracuse Orange,Syracuse Orange,1,61,12,15,5,7,31,5,26,48,20,6,26,23,15,16
14,1/9/2019 20:00,0,Louisville Cardinals,Pittsburgh Panthers,Louisville Cardinals,0,86,17,18,2,5,37,11,26,68,31,7,28,23,17,24
14,1/9/2019 20:00,0,Louisville Cardinals,Pittsburgh Panthers,Pittsburgh Panthers,1,89,15,12,6,6,28,6,22,61,32,9,20,33,16,26
15,1/9/2019 21:00,0,Miami (FL) Hurricanes,Florida State Seminoles,Florida State Seminoles,1,68,15,9,7,3,38,11,27,64,27,6,26,13,8,20
15,1/9/2019 21:00,0,Miami (FL) Hurricanes,Florida State Seminoles,Miami (FL) Hurricanes,0,62,10,12,3,0,29,8,21,54,20,4,18,22,18,15
16,1/9/2019 21:00,0,Virginia Cavaliers,Boston College Eagles,Boston College Eagles,1,56,6,8,4,0,18,4,14,57,22,7,25,9,5,12
16,1/9/2019 21:00,0,Virginia Cavaliers,Boston College Eagles,Virginia Cavaliers,0,83,17,10,5,6,38,7,31,55,33,8,19,14,9,16
17,1/12/2019 12:00,0,Boston College Eagles,Notre Dame Fighting Irish,Boston College Eagles,0,66,9,12,4,3,41,11,30,65,26,6,21,10,8,19
17,1/12/2019 12:00,0,Boston College Eagles,Notre Dame Fighting Irish,Notre Dame Fighting Irish,1,69,11,10,7,5,40,11,29,61,21,7,26,23,20,15
18,1/12/2019 12:00,0,Virginia Cavaliers,Clemson Tigers,Clemson Tigers,1,43,5,7,7,2,36,8,28,54,14,3,19,17,12,14
18,1/12/2019 12:00,0,Virginia Cavaliers,Clemson Tigers,Virginia Cavaliers,0,63,11,8,4,2,46,10,36,57,23,10,23,12,7,13
19,1/12/2019 12:00,0,Pittsburgh Panthers,North Carolina State Wolfpack,North Carolina State Wolfpack,1,86,16,13,9,6,38,15,23,71,30,7,20,25,19,19
19,1/12/2019 12:00,0,Pittsburgh Panthers,North Carolina State Wolfpack,Pittsburgh Panthers,0,80,13,16,8,4,30,7,23,55,25,6,13,28,24,21
